Employee_ID,satisfaction_level,last_evaluation,number_projects,average montly hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary
1,0.38,0.53,2,157,3,0,1,0,sales,low
2,0.80,0.86,5,262,6,0,1,0,sales,medium
3,0.11,0.88,7,272,4,0,1,0,sales,medium
4,0.72,0.87,5,223,5,0,1,0,sales,low
5,0.37,0.52,2,159,3,0,1,0,sales,low
6,0.41,0.50,2,153,3,0,1,0,sales,low
7,0.10,0.77,6,247,4,0,1,0,sales,low
8,0.92,0.85,5,259,5,0,1,0,sales,low
9,0.89,1.00,5,224,5,0,1,0,sales,low
10,0.42,0.53,2,142,3,0,1,0,sales,low